id,GEOID,access,hoops,surface,lit,name,city,lon,lat,neighborhood,income_q,LPA,OBESITY,median_household_income,pct_black,lit_status,hoops_status
way/1447171835,13121010519,,,,,,Atlanta,-84.5992473,33.57187385,,Q2,29.3,37.4,83152.0,76.1500547645126,Not recorded,Not recorded
way/1451238335,13089020802,,,,,,Atlanta,-84.29973394999999,33.74692085,East Lake,Q3,18.5,30.3,109755.0,46.66359871145882,Not recorded,Not recorded
way/1451261115,13121002500,,,,,,Atlanta,-84.41162932069281,33.76191211048358,Vine City,Q1 (lowest),36.3,42.3,39081.0,89.41176470588236,Not recorded,Not recorded
way/1451459453,13089020901,,,,,,Atlanta,-84.32874745000001,33.743040300000004,East Atlanta,Q3,15.1,27.5,114478.0,33.425840271353685,Not recorded,Not recorded
way/1451837750,13089020901,,,,,,Atlanta,-84.32892175000002,33.742983499999994,East Atlanta,Q3,15.1,27.5,114478.0,33.425840271353685,Not recorded,Not recorded
way/1457004013,13089021824,,,,,,Atlanta,-84.20653135025454,33.83645360008207,,Q1 (lowest),34.3,37.0,45524.0,50.510412413229886,Not recorded,Not recorded
way/1466876279,13121005501,,,,,,Atlanta,-84.38317652490895,33.73648791548646,Peoplestown,Q2,29.1,35.5,73971.0,62.35333556821991,Not recorded,Not recorded
way/1466876281,13121005501,,,,,,Atlanta,-84.38308782493213,33.7362592618326,Peoplestown,Q2,29.1,35.5,73971.0,62.35333556821991,Not recorded,Not recorded
way/1480992346,13121010305,,,,,,Atlanta,-84.56187672678874,33.69999619818524,,Q3,27.4,34.5,100742.0,97.66819571865443,Not recorded,Not recorded
way/1482041585,13121010604,,,,,,Atlanta,-84.47131466243736,33.634444564785554,,Q1 (lowest),40.5,44.2,29432.0,95.53966632618318,Not recorded,Not recorded
way/1482041586,13121010604,,,,,,Atlanta,-84.47145155126364,33.63432679893103,,Q1 (lowest),40.5,44.2,29432.0,95.53966632618318,Not recorded,Not recorded
way/1494378463,13121010132,yes,2,,,,Atlanta,-84.36213194999999,33.917527099999994,,Q3,16.6,23.1,101742.0,24.779021803182086,Not recorded,Full court (2+ hoops)
way/1509698775,13121011637,,,,,,Atlanta,-84.27316143131456,34.051686538786655,,Q4 (highest),12.9,21.4,193750.0,1.3279678068410463,Not recorded,Not recorded
way/1512329570,13121011419,,,,,,Atlanta,-84.39496885000001,34.047415150000006,,Q4 (highest),15.4,21.8,155972.0,4.23435879709644,Not recorded,Not recorded
way/1512543799,13121011423,,1,,,,Atlanta,-84.37328304118996,34.02199722468074,,Q4 (highest),13.5,22.8,151767.0,0.3784139519578809,Not recorded,Half court (1 hoop)
way/1512557611,13121011100,,2,,,,Atlanta,-84.42018149999998,33.68821354999999,,Q2,20.1,29.6,78772.0,52.955176517255055,Not recorded,Full court (2+ hoops)
way/1518534840,13121011508,,,,,,Atlanta,-84.26140584999999,34.1808894,,Q4 (highest),12.8,21.5,250001.0,18.224707321334964,Not recorded,Not recorded
way/1518534856,13121011661,,,,,,Atlanta,-84.26734648480891,34.126606178813425,,Q4 (highest),14.3,22.4,229583.0,5.443453777569216,Not recorded,Not recorded
way/1524794416,13121010306,,,,,,Atlanta,-84.58260823322915,33.69156652517454,,Q2,21.6,34.1,83929.0,87.3326191751473,Not recorded,Not recorded
way/1529515835,13121011510,,,,,,Atlanta,-84.35381069999998,34.087964449999994,,Q4 (highest),12.7,20.8,224559.0,5.9483526268922535,Not recorded,Not recorded
node/6568153301,13089022800,,,,,,Atlanta,-84.2886178,33.7647517,,Q4 (highest),15.2,25.8,189333.0,14.358108108108109,Not recorded,Not recorded
node/7852001676,13121010108,,1,,,,Atlanta,-84.2770953,33.9787037,,Q4 (highest),14.6,22.0,146979.0,4.75977653631285,Not recorded,Half court (1 hoop)
node/8057340472,13121011440,,1,,,,Atlanta,-84.2912158,34.0021687,,Q4 (highest),16.9,23.6,139792.0,26.888604353393085,Not recorded,Half court (1 hoop)
node/12215093688,13121010308,,,,,,Atlanta,-84.5702199,33.6441045,,Q3,20.8,32.7,107136.0,94.33758763257235,Not recorded,Not recorded
node/12215093707,13121010313,,,,,,Atlanta,-84.5616599,33.7107216,,Q2,17.6,31.6,80847.0,96.21008654133094,Not recorded,Not recorded
node/12215093733,13121007809,,,,,,Atlanta,-84.5310055,33.7289172,,Q3,22.8,32.8,96250.0,87.70665536244171,Not recorded,Not recorded
node/13666936574,13121011423,,,,,,Atlanta,-84.3903702,34.0134277,,Q4 (highest),13.5,22.8,151767.0,0.3784139519578809,Not recorded,Not recorded
